,name,meteor_first_word,classification,parent_class,mass,fall,year,latitude,longitude
0,Aachen,Aachen,L5,chondrite,21.0,Fell,1880,50.775,6.08333
1,Aarhus,Aarhus,H6,chondrite,720.0,Fell,1951,56.18333,10.23333
2,Abee,Abee,EH4,chondrite,107000.0,Fell,1952,54.21667,-113.0
3,Acapulco,Acapulco,Acapulcoite,achondrite,1914.0,Fell,1976,16.88333,-99.9
4,Achiras,Achiras,L6,chondrite,780.0,Fell,1902,-33.16667,-64.95
5,Adhi Kot,Adhi,EH4,chondrite,4239.0,Fell,1919,32.1,71.8
6,Adzhi-Bogdo (stone),Adzhi-Bogdo,LL3-6,chondrite,910.0,Fell,1949,44.83333,95.16667
7,Agen,Agen,H5,chondrite,30000.0,Fell,1814,44.21667,0.61667
8,Aguada,Aguada,L6,chondrite,1620.0,Fell,1930,-31.6,-65.23333
9,Aguila Blanca,Aguila,L,chondrite,1440.0,Fell,1920,-30.86667,-64.55
10,Aioun el Atrouss,Aioun,Diogenite-pm,achondrite,1000.0,Fell,1974,16.39806,-9.57028
11,Aïr,Aïr,L6,chondrite,24000.0,Fell,1925,19.08333,8.38333
12,Akaba,Akaba,L6,chondrite,779.0,Fell,1949,29.51667,35.05
13,Akbarpur,Akbarpur,H4,chondrite,1800.0,Fell,1838,29.71667,77.95
14,Akwanga,Akwanga,H,chondrite,3000.0,Fell,1959,8.91667,8.43333
15,Akyumak,Akyumak,"Iron, IVA",iron,50000.0,Fell,1981,39.91667,42.81667
16,Al Rais,Al,CR2-an,chondrite,160.0,Fell,1957,24.41667,39.51667
17,Al Zarnkh,Al,LL5,chondrite,700.0,Fell,2001,13.66033,28.96
18,Alais,Alais,CI1,chondrite,6000.0,Fell,1806,44.11667,4.08333
19,Albareto,Albareto,L/LL4,chondrite,2000.0,Fell,1766,44.65,11.01667
20,Alberta,Alberta,L,chondrite,625.0,Fell,1949,2.0,22.66667
21,Alby sur Chéran,Alby,Eucrite-mmict,achondrite,252.0,Fell,2002,45.82133,6.01533
22,Aldsworth,Aldsworth,LL5,chondrite,700.0,Fell,1835,51.78333,-1.78333
23,Aleppo,Aleppo,L6,chondrite,3200.0,Fell,1873,36.23333,37.13333
24,Alessandria,Alessandria,H5,chondrite,908.0,Fell,1860,44.88333,8.75
25,Alexandrovsky,Alexandrovsky,H4,chondrite,9251.0,Fell,1900,50.95,31.81667
26,Alfianello,Alfianello,L6,chondrite,228000.0,Fell,1883,45.26667,10.15
27,Allegan,Allegan,H5,chondrite,32000.0,Fell,1899,42.53333,-85.88333
28,Allende,Allende,CV3,chondrite,2000000.0,Fell,1969,26.96667,-105.31667
29,Almahata Sitta,Almahata,Ureilite-an,achondrite,3950.0,Fell,2008,20.74575,32.41275
30,Alta'ameem,Alta'ameem,LL5,chondrite,6000.0,Fell,1977,35.27333,44.21556
31,Ambapur Nagla,Ambapur,H5,chondrite,6400.0,Fell,1895,27.66667,78.25
32,Andhara,Andhara,Stone-uncl,stony-iron,2700.0,Fell,1880,26.58333,85.56667
33,Andover,Andover,L6,chondrite,3200.0,Fell,1898,44.61667,-70.75
34,Andreevka,Andreevka,L3,chondrite,600.0,Fell,1969,48.7,37.5
35,Andura,Andura,H6,chondrite,17900.0,Fell,1939,20.88333,76.86667
36,Angra dos Reis (stone),Angra,Angrite,achondrite,1500.0,Fell,1869,-22.96667,-44.31667
37,Ankober,Ankober,H4,chondrite,6500.0,Fell,1942,9.53333,39.71667
38,Anlong,Anlong,H5,chondrite,2500.0,Fell,1971,25.15,105.18333
39,Aomori,Aomori,L6,chondrite,320.0,Fell,1984,40.81056,140.78556
40,Appley Bridge,Appley,LL6,chondrite,15000.0,Fell,1914,53.58333,-2.71667
41,Apt,Apt,L6,chondrite,3200.0,Fell,1803,43.86667,5.38333
42,Arbol Solo,Arbol,H5,chondrite,810.0,Fell,1954,-33.0,-66.0
43,Archie,Archie,H6,chondrite,5070.0,Fell,1932,38.5,-94.3
44,Arroyo Aguiar,Arroyo,H5,chondrite,7450.0,Fell,1950,-31.41667,-60.66667
45,Asco,Asco,H6,chondrite,41.0,Fell,1805,42.45,9.03333
46,Ash Creek,Ash,L6,chondrite,9500.0,Fell,2009,31.805,-97.01
47,Ashdon,Ashdon,L6,chondrite,1300.0,Fell,1923,52.05,0.3
48,Assisi,Assisi,H5,chondrite,2000.0,Fell,1886,43.03333,12.55
49,Atarra,Atarra,L4,chondrite,1280.0,Fell,1920,25.25417,80.625
50,Atemajac,Atemajac,L6,chondrite,94.2,Fell,1896,20.06667,-103.66667
51,Athens,Athens,LL6,chondrite,265.0,Fell,1933,34.75,-87.0
52,Atoka,Atoka,L6,chondrite,1384.2,Fell,1945,34.31667,-96.15
53,Aubres,Aubres,Aubrite,achondrite,800.0,Fell,1836,44.38333,5.16667
54,Aumale,Aumale,L6,chondrite,50000.0,Fell,1865,36.16667,3.66667
55,Aumieres,Aumieres,L6,chondrite,2000.0,Fell,1842,44.33333,3.23333
56,Ausson,Ausson,L5,chondrite,50000.0,Fell,1858,43.08333,0.58333
57,Avanhandava,Avanhandava,H4,chondrite,9330.0,Fell,1952,-21.46028,-49.95083
58,Avce,Avce,"Iron, IIAB",iron,1230.0,Fell,1908,46.0,13.5
59,Avilez,Avilez,H,chondrite,146.0,Fell,1855,25.0,-103.5
60,Awere,Awere,L4,chondrite,134.0,Fell,1968,2.71667,32.83333
61,Aztec,Aztec,L6,chondrite,2830.0,Fell,1938,36.8,-108.0
62,Bachmut,Bachmut,L6,chondrite,18000.0,Fell,1814,48.6,38.0
63,Bahjoi,Bahjoi,"Iron, IAB-sLL",iron,10322.0,Fell,1934,28.48333,78.5
64,Bald Mountain,Bald,L4,chondrite,3700.0,Fell,1929,35.96667,-82.48333
65,Baldwyn,Baldwyn,L6,chondrite,345.0,Fell,1922,34.5,-88.66667
66,Bali,Bali,CV3,chondrite,1000.0,Fell,1907,5.38333,16.38333
67,Ban Rong Du,Ban,"Iron, ungrouped",iron,16700.0,Fell,1993,16.66667,101.18333
68,Bandong,Bandong,LL6,chondrite,11500.0,Fell,1871,-6.91667,107.6
69,Bansur,Bansur,L6,chondrite,15000.0,Fell,1892,27.7,76.33333
70,Banswal,Banswal,L5,chondrite,14.0,Fell,1913,30.4,78.2
71,Banten,Banten,CM2,chondrite,629.0,Fell,1933,-6.33333,106.0
72,Barbotan,Barbotan,H5,chondrite,6400.0,Fell,1790,43.95,-0.05
73,Barea,Barea,Mesosiderite-A1,stony-iron,3200.0,Fell,1842,42.38333,-2.5
74,Barnaul,Barnaul,H5,chondrite,23.2,Fell,1904,52.73333,84.08333
75,Barntrup,Barntrup,LL4,chondrite,17.0,Fell,1886,52.0,9.1
76,Baroti,Baroti,L6,chondrite,4500.0,Fell,1910,31.61667,76.8
77,Barwell,Barwell,L5,chondrite,44000.0,Fell,1965,52.56528,-1.33972
78,Bassikounou,Bassikounou,H5,chondrite,29560.0,Fell,2006,15.78333,-5.9
79,Baszkówka,Baszkówka,L5,chondrite,15500.0,Fell,1994,52.03333,20.93583
80,Bath,Bath,H4,chondrite,21000.0,Fell,1892,45.41667,-98.31667
81,Bath Furnace,Bath,L6,chondrite,86000.0,Fell,1902,38.25,-83.75
82,Battle Mountain,Battle,L6,chondrite,2900.0,Fell,2012,40.66813,-117.18913
83,Bawku,Bawku,LL5,chondrite,1557.0,Fell,1989,11.08333,-0.18333
84,Baxter,Baxter,L6,chondrite,611.0,Fell,1916,36.75,-93.5
85,Beardsley,Beardsley,H5,chondrite,16000.0,Fell,1929,39.8,-101.2
86,Beaver Creek,Beaver,H5,chondrite,14000.0,Fell,1893,51.16667,-117.33333
87,Beddgelert,Beddgelert,H5,chondrite,794.0,Fell,1949,53.01667,-4.1
88,Bells,Bells,C2-ung,chondrite,375.0,Fell,1961,33.6,-96.46667
89,Benares (a),Benares,LL4,chondrite,3700.0,Fell,1798,25.36667,82.91667
90,Benguerir,Benguerir,LL6,chondrite,25000.0,Fell,2004,32.25,-8.15
91,Beni M'hira,Beni,L6,chondrite,19000.0,Fell,2001,32.86667,10.8
92,Benld,Benld,H6,chondrite,1770.5,Fell,1938,39.08333,-89.15
93,Benoni,Benoni,H6,chondrite,3880.0,Fell,1943,-26.16667,28.41667
94,Bensour,Bensour,LL6,chondrite,45000.0,Fell,2002,30.0,-7.0
95,Benton,Benton,LL6,chondrite,2840.0,Fell,1949,45.95,-67.55
96,Berduc,Berduc,L6,chondrite,270.0,Fell,2008,-31.91,-58.32833
97,Béréba,Béréba,Eucrite-mmict,achondrite,18000.0,Fell,1924,11.65,-3.65
98,Berlanguillas,Berlanguillas,L6,chondrite,1440.0,Fell,1811,41.68333,-3.8
99,Berthoud,Berthoud,Eucrite-mmict,achondrite,960.0,Fell,2004,40.30583,-105.02325
100,Bethlehem,Bethlehem,H,chondrite,13.9,Fell,1859,42.53333,-73.83333
101,Beuste,Beuste,L5,chondrite,2000.0,Fell,1859,43.21667,-0.23333
102,Beyrout,Beyrout,LL3.8,chondrite,1100.0,Fell,1921,33.88333,35.5
103,Bhagur,Bhagur,L6,chondrite,18.0,Fell,1877,20.88333,74.83333
104,Bhawad,Bhawad,LL6,chondrite,678.0,Fell,2002,26.50833,73.11528
105,Bherai,Bherai,L6,chondrite,100.0,Fell,1893,20.83333,71.46667
106,Bhola,Bhola,LL3-6,chondrite,1047.0,Fell,1940,22.68333,90.65
107,Bholghati,Bholghati,Howardite,achondrite,2500.0,Fell,1905,22.08333,86.9
108,Bialystok,Bialystok,Eucrite-pmict,achondrite,4000.0,Fell,1827,53.1,23.2
109,Bielokrynitschie,Bielokrynitschie,H4,chondrite,1900.0,Fell,1887,50.13333,27.16667
110,Bilanga,Bilanga,Diogenite,achondrite,25000.0,Fell,1999,12.45,-0.08333
111,Binningup,Binningup,H5,chondrite,488.1,Fell,1984,-33.15639,115.67639
112,Birni N'konni,Birni,H4,chondrite,560.0,Fell,1923,13.76667,5.3
113,Bishopville,Bishopville,Aubrite,achondrite,6000.0,Fell,1843,34.16667,-80.28333
114,Bishunpur,Bishunpur,LL3.15,chondrite,1039.0,Fell,1895,25.38333,82.6
115,Bjelaja Zerkov,Bjelaja,H6,chondrite,1850.0,Fell,1796,49.78333,30.16667
116,Bjurböle,Bjurböle,L/LL4,chondrite,330000.0,Fell,1899,60.4,25.8
117,Black Moshannan Park,Black,L5,chondrite,705.0,Fell,1941,40.91667,-78.08333
118,Blackwell,Blackwell,L5,chondrite,2381.0,Fell,1906,36.83333,-97.33333
119,Blanket,Blanket,L6,chondrite,5100.0,Fell,1909,31.83333,-98.83333
120,Blansko,Blansko,H6,chondrite,470.0,Fell,1833,49.36667,16.63333
121,Bloomington,Bloomington,LL6,chondrite,67.8,Fell,1938,40.48,-89.00417
122,Bo Xian,Bo,LL3.9,chondrite,7500.0,Fell,1977,33.83333,115.83333
123,Bocas,Bocas,L6,chondrite,56.0,Fell,1804,23.0,-102.0
124,Bogou,Bogou,"Iron, IAB-MG",iron,8800.0,Fell,1962,12.5,0.7
125,Boguslavka,Boguslavka,"Iron, IIAB",iron,256000.0,Fell,1916,44.55,131.63333
